Crash ID,State,Date,Day,Month,Year,Dayweek,Time,Hour,Min,Crash Type,Number of Fatalities,"Bus Involvement","Rigid Truck Involvement","Articulated Truck Involvement ",Speed Limit
1200902130040,NSW,13-Feb-2009,13,2,2009,Friday,18:50,18,50,Single vehicle ,1,No,No,No,100
2200902130034,VIC,13-Feb-2009,13,2,2009,Friday,15:05,15,05,Pedestrian,1,No,No,No,60
2200902130035,VIC,13-Feb-2009,13,2,2009,Friday,15:55,15,55,Single vehicle ,1,No,No,No,50
2200902130036,VIC,13-Feb-2009,13,2,2009,Friday,23:10,23,10,Pedestrian,1,No,Yes,No,50
3200902130038,QLD,13-Feb-2009,13,2,2009,Friday,05:00,05,00,Multiple vehicle,1,No,No,No,100
5200902130023,WA,13-Feb-2009,13,2,2009,Friday,14:51,14,51,Multiple vehicle,1,No,No,No,80
1200902140041,NSW,14-Feb-2009,14,2,2009,Saturday,16:40,16,40,Multiple vehicle,1,No,No,No,80
1200902140042,NSW,14-Feb-2009,14,2,2009,Saturday,15:10,15,10,Single vehicle ,1,No,No,No,100
2200902140037,VIC,14-Feb-2009,14,2,2009,Saturday,10:45,10,45,Multiple vehicle,1,No,No,No,80
2200902140038,VIC,14-Feb-2009,14,2,2009,Saturday,12:05,12,05,Multiple vehicle,1,No,No,No,100
4200902140014,SA,14-Feb-2009,14,2,2009,Saturday,10:00,10,00,Single vehicle ,2,No,No,No,60
5200902140024,WA,14-Feb-2009,14,2,2009,Saturday,13:00,13,00,Multiple vehicle,1,No,Yes,No,110
6200902140012,TAS,14-Feb-2009,14,2,2009,Saturday,19:05,19,05,Single vehicle ,1,No,No,No,80
1200902150043,NSW,15-Feb-2009,15,2,2009,Sunday,11:00,11,00,Multiple vehicle,1,No,No,No,50
4200902150015,SA,15-Feb-2009,15,2,2009,Sunday,06:30,06,30,Multiple vehicle,2,No,No,No,80
3200902160039,QLD,16-Feb-2009,16,2,2009,Monday,15:00,15,00,Multiple vehicle,1,Yes,No,No,50
3200902160040,QLD,16-Feb-2009,16,2,2009,Monday,22:00,22,00,Single vehicle ,1,No,No,Yes,90
1200902170044,NSW,17-Feb-2009,17,2,2009,Tuesday,11:47,11,47,Pedestrian,1,No,No,No,50
2200902170039,VIC,17-Feb-2009,17,2,2009,Tuesday,13:45,13,45,Single vehicle ,1,No,No,No,50
3200902170041,QLD,17-Feb-2009,17,2,2009,Tuesday,13:00,13,00,Multiple vehicle,1,No,Yes,Yes,90
5200902170025,WA,17-Feb-2009,17,2,2009,Tuesday,05:15,05,15,Multiple vehicle,1,No,No,No,60
5200902180026,WA,18-Feb-2009,18,2,2009,Wednesday,04:00,04,00,Single vehicle ,2,No,No,No,80
1200902190045,NSW,19-Feb-2009,19,2,2009,Thursday,04:40,04,40,Single vehicle ,1,No,No,No,80
3200902190042,QLD,19-Feb-2009,19,2,2009,Thursday,16:00,16,00,Single vehicle ,1,No,No,No,50
3200902190043,QLD,19-Feb-2009,19,2,2009,Thursday,18:00,18,00,Pedestrian,1,No,No,No,60
4200902190016,SA,19-Feb-2009,19,2,2009,Thursday,10:55,10,55,Multiple vehicle,1,No,No,No,70
5200902200027,WA,20-Feb-2009,20,2,2009,Friday,19:30,19,30,Single vehicle ,1,No,No,No,90
1200902210046,NSW,21-Feb-2009,21,2,2009,Saturday,01:50,01,50,Multiple vehicle,1,No,No,No,100
2200902210040,VIC,21-Feb-2009,21,2,2009,Saturday,19:30,19,30,Single vehicle ,1,No,No,No,100
5200902210028,WA,21-Feb-2009,21,2,2009,Saturday,08:00,08,00,Single vehicle ,1,No,No,No,110
1200902220047,NSW,22-Feb-2009,22,2,2009,Sunday,15:00,15,00,Multiple vehicle,2,No,No,No,90
1200902220048,NSW,22-Feb-2009,22,2,2009,Sunday,21:45,21,45,Pedestrian,1,No,No,Yes,110
1200902220049,NSW,22-Feb-2009,22,2,2009,Sunday,14:45,14,45,Single vehicle ,1,No,No,No,100
2200902220041,VIC,22-Feb-2009,22,2,2009,Sunday,11:05,11,05,Single vehicle ,1,No,No,No,100
2200902220042,VIC,22-Feb-2009,22,2,2009,Sunday,03:10,03,10,Single vehicle ,1,No,No,No,100
4200902220017,SA,22-Feb-2009,22,2,2009,Sunday,15:28,15,28,Single vehicle ,1,No,No,No,70
5200902220029,WA,22-Feb-2009,22,2,2009,Sunday,14:15,14,15,Multiple vehicle,2,No,No,No,70
1200902230050,NSW,23-Feb-2009,23,2,2009,Monday,13:20,13,20,Single vehicle ,1,No,No,No,100
3200902230044,QLD,23-Feb-2009,23,2,2009,Monday,17:00,17,00,Multiple vehicle,1,No,No,No,60
6200902230013,TAS,23-Feb-2009,23,2,2009,Monday,17:30,17,30,Single vehicle ,1,No,No,No,100
1200902240051,NSW,24-Feb-2009,24,2,2009,Tuesday,17:19,17,19,Multiple vehicle,1,No,No,No,50
1200902240052,NSW,24-Feb-2009,24,2,2009,Tuesday,14:20,14,20,Single vehicle ,2,No,No,Yes,100
1200902240053,NSW,24-Feb-2009,24,2,2009,Tuesday,18:20,18,20,Single vehicle ,1,No,No,No,60
2200902240043,VIC,24-Feb-2009,24,2,2009,Tuesday,09:30,09,30,Single vehicle ,1,No,No,Yes,100
3200902240045,QLD,24-Feb-2009,24,2,2009,Tuesday,00:00,00,00,Single vehicle ,1,No,No,No,100
5200902240030,WA,24-Feb-2009,24,2,2009,Tuesday,21:04,21,04,Single vehicle ,1,No,No,No,60
1200902270054,NSW,27-Feb-2009,27,2,2009,Friday,05:40,05,40,Pedestrian,1,No,No,Yes,80
2200902270044,VIC,27-Feb-2009,27,2,2009,Friday,18:45,18,45,Multiple vehicle,1,No,No,No,100
1200902280055,NSW,28-Feb-2009,28,2,2009,Saturday,17:00,17,00,Single vehicle ,1,No,No,No,110
3200902280046,QLD,28-Feb-2009,28,2,2009,Saturday,15:00,15,00,Multiple vehicle,1,No,No,No,70
6200902280014,TAS,28-Feb-2009,28,2,2009,Saturday,11:30,11,30,Single vehicle ,1,No,No,No,100
1200903010056,NSW,01-Mar-2009,1,3,2009,Sunday,13:21,13,21,Single vehicle ,1,No,No,No,80
1200903010057,NSW,01-Mar-2009,1,3,2009,Sunday,17:10,17,10,Single vehicle ,1,No,No,No,110
3200903010047,QLD,01-Mar-2009,1,3,2009,Sunday,08:00,08,00,Multiple vehicle,2,No,No,No,80
3200903020048,QLD,02-Mar-2009,2,3,2009,Monday,13:00,13,00,Multiple vehicle,1,Yes,No,No,60
4200903020018,SA,02-Mar-2009,2,3,2009,Monday,12:12,12,12,Single vehicle ,1,No,No,Yes,110
1200903030058,NSW,03-Mar-2009,3,3,2009,Tuesday,23:15,23,15,Pedestrian,1,No,No,No,50
3200903040049,QLD,04-Mar-2009,4,3,2009,Wednesday,10:00,10,00,Multiple vehicle,1,Yes,No,No,60
3200903040050,QLD,04-Mar-2009,4,3,2009,Wednesday,13:00,13,00,Multiple vehicle,1,No,No,No,60
3200903040051,QLD,04-Mar-2009,4,3,2009,Wednesday,20:00,20,00,Multiple vehicle,1,No,No,Yes,100
6200903040015,TAS,04-Mar-2009,4,3,2009,Wednesday,08:10,08,10,Multiple vehicle,1,No,No,No,100
1200903050059,NSW,05-Mar-2009,5,3,2009,Thursday,16:59,16,59,Multiple vehicle,1,No,Yes,No,50
2200903050045,VIC,05-Mar-2009,5,3,2009,Thursday,09:50,09,50,Single vehicle ,1,No,No,Yes,100
2200903050046,VIC,05-Mar-2009,5,3,2009,Thursday,14:20,14,20,Multiple vehicle,1,No,No,No,80
3200903050052,QLD,05-Mar-2009,5,3,2009,Thursday,10:00,10,00,Pedestrian,1,No,No,No,50
3200903050053,QLD,05-Mar-2009,5,3,2009,Thursday,15:00,15,00,Multiple vehicle,1,No,No,No,90
5200903050031,WA,05-Mar-2009,5,3,2009,Thursday,14:40,14,40,Multiple vehicle,1,No,No,No,110
5200903050032,WA,05-Mar-2009,5,3,2009,Thursday,10:28,10,28,Multiple vehicle,1,No,Yes,No,60
1200903060060,NSW,06-Mar-2009,6,3,2009,Friday,06:00,06,00,Multiple vehicle,1,No,No,No,100
5200903060033,WA,06-Mar-2009,6,3,2009,Friday,15:00,15,00,Single vehicle ,1,No,No,No,110
